Time_abs/ps, Signal 1/nA, Signal 2/nA
  1886.250,     1.569051,    -0.000358
  1886.300,     1.250152,     0.020229
  1886.350,     0.844752,     0.005006
  1886.400,     0.440011,     0.008821
  1886.450,     0.125916,     0.020661
  1886.500,    -0.125884,     0.029784
  1886.550,    -0.252472,     0.000796
  1886.600,    -0.333458,     0.035875
  1886.650,    -0.299115,     0.029144
  1886.700,    -0.228580,     0.004853
  1886.750,    -0.014369,     0.003120
  1886.800,     0.187846,     0.017410
  1886.850,     0.500338,    -0.010664
  1886.900,     0.840539,    -0.034953
  1886.950,     1.155625,    -0.008656
  1887.000,     1.483469,    -0.007272
  1887.050,     1.646090,    -0.021415
  1887.100,     1.802754,    -0.048552
  1887.150,     2.129797,    -0.036018
  1887.200,     2.254042,    -0.014865
  1887.250,     2.476551,    -0.026328
  1887.300,     2.748273,    -0.013598
  1887.350,     2.920995,     0.000905
  1887.400,     3.224344,    -0.008285
  1887.450,     3.540260,    -0.012223
  1887.500,     3.810365,     0.002795
  1887.550,     4.077812,    -0.003393
  1887.600,     4.369797,     0.018191
  1887.650,     4.758880,     0.027870
  1887.700,     5.180235,     0.019622
  1887.750,     5.553083,     0.029001
  1887.800,     5.908142,     0.049123
  1887.850,     6.195705,     0.037225
  1887.900,     6.587335,     0.020382
  1887.950,     7.065636,     0.007886
  1888.000,     7.370738,    -0.003336
  1888.050,     7.536813,    -0.010915
  1888.100,     7.522539,     0.001296
  1888.150,     7.040997,    -0.016465
  1888.200,     5.992656,    -0.025064
  1888.250,     3.847016,    -0.048332
  1888.300,     0.538798,    -0.064462
  1888.350,    -4.347564,    -0.042405
  1888.400,   -10.913605,    -0.033574
  1888.450,   -18.971800,    -0.028124
  1888.500,   -28.218158,    -0.018636
  1888.550,   -37.748604,    -0.015319
  1888.600,   -46.821678,     0.000235
  1888.650,   -54.558078,    -0.006273
  1888.700,   -60.115775,     0.003369
  1888.750,   -63.522240,     0.023938
  1888.800,   -64.105516,     0.051884
  1888.850,   -62.094285,     0.041366
  1888.900,   -57.447135,     0.008515
  1888.950,   -50.348961,     0.023603
  1889.000,   -40.953342,     0.030844
  1889.050,   -29.193859,     0.045370
  1889.100,   -15.534154,     0.027731
  1889.150,    -0.101467,     0.015614
  1889.200,    16.368759,     0.020353
  1889.250,    33.302940,     0.005345
  1889.300,    49.866772,    -0.003968
  1889.350,    64.743668,    -0.032750
  1889.400,    76.986322,    -0.039657
  1889.450,    85.726440,    -0.024910
  1889.500,    89.920246,    -0.027478
  1889.550,    89.449587,    -0.043703
  1889.600,    84.211776,    -0.058568
